Tag,Excerpt,Wiki
mac,"Hardware related questions of computers sold/made by Apple. Use [macos] for the operating system, and use [mac-address] for MAC addresses instead.","<p>Mac is short for <a href=""http://www.apple.com/mac/"" rel=""nofollow noreferrer"">Macintosh</a>, a brand of computers created and sold by <a href=""http://apple.com"" rel=""nofollow noreferrer"">Apple Inc.</a>. Macintosh products are the desktop and mobile computing family, whereas products such as the <a href=""http://www.apple.com/ipod/"" rel=""nofollow noreferrer"">iPod</a>, the <a href=""http://www.apple.com/iphone/"" rel=""nofollow noreferrer"">iPhone</a> or the <a href=""http://www.apple.com/ipad/"" rel=""nofollow noreferrer"">iPad</a> don't carry a ""Mac"" name.</p>

<p>Apple produces several lines of Macintosh computers including the <a href=""http://apple.com/imac"" rel=""nofollow noreferrer"">iMac</a>, <a href=""http://apple.com/macmini"" rel=""nofollow noreferrer"">Mac mini</a>, <a href=""http://apple.com/macpro"" rel=""nofollow noreferrer"">Mac Pro</a>, <a href=""http://apple.com/macbookpro"" rel=""nofollow noreferrer"">MacBook Pro</a>, <a href=""http://apple.com/macbookair"" rel=""nofollow noreferrer"">MacBook Air</a>, and the (now discontinued) <a href=""http://apple.com/macbook"" rel=""nofollow noreferrer"">MacBook</a>.</p>

<h3>Mac OS X</h3>

<p>All current Macs ship with <a href=""http://superuser.com/questions/tagged/osx?sort=faq&amp;pagesize=50"">Mac OS X</a> (""Pronounced: Mac OS Ten""), and allow you to install Windows or Linux either through virtualization software, using an alternative boot loader, or Apple's provided ""Boot Camp"" feature to install Windows on your Mac. </p>

<p><a href=""/questions/tagged/mac"" class=""post-tag"" title=""show questions tagged &#39;mac&#39;"" rel=""tag"">mac</a> specifies the hardware only, therefore all questions about Mac OS X should be tagged <a href=""/questions/tagged/macos"" class=""post-tag"" title=""show questions tagged &#39;macos&#39;"" rel=""tag"">macos</a>.</p>

<h3>Currently produced Macs</h3>

<ul>
<li><p><a href=""/questions/tagged/macbook-pro"" class=""post-tag"" title=""show questions tagged &#39;macbook-pro&#39;"" rel=""tag"">macbook-pro</a> about the MacBook Pro, both the newer Unibody models as well as the earlier Intel-based line.</p></li>
<li><p><a href=""/questions/tagged/macbook-air"" class=""post-tag"" title=""show questions tagged &#39;macbook-air&#39;"" rel=""tag"">macbook-air</a> about the MacBook Air, a ultra-portable laptop based on flash storage.</p></li>
<li><p><a href=""/questions/tagged/imac"" class=""post-tag"" title=""show questions tagged &#39;imac&#39;"" rel=""tag"">imac</a> about the iMac, a desktop computer with a built-in display. This tag compromises all iMacs, from the first ""iMac G3"" to the latest Unibody iMac.</p></li>
<li><p><a href=""/questions/tagged/mac-pro"" class=""post-tag"" title=""show questions tagged &#39;mac-pro&#39;"" rel=""tag"">mac-pro</a> about the Mac Pro, a professional desktop computer with options for high-end  components, primarily used in media production environments. </p></li>
</ul>

<h3>Discontinued Macs</h3>

<ul>
<li><p><a href=""/questions/tagged/powerbook"" class=""post-tag"" title=""show questions tagged &#39;powerbook&#39;"" rel=""tag"">powerbook</a> about the laptop line that was manufactured from 1991 to 2006. The line was discontinued and replaced for the MacBook brand when Apple switched to Intel processors.</p></li>
<li><p><a href=""/questions/tagged/macbook"" class=""post-tag"" title=""show questions tagged &#39;macbook&#39;"" rel=""tag"">macbook</a> for all questions about MacBooks &ndash; or specifically the budget MacBook line, as compared to the professional MacBook Pro line. Apple currently does not produce any MacBooks anymore.</p></li>
</ul>

<p><strong>Tag overlap</strong></p>

<p>Some questions about <a href=""http://en.wikipedia.org/wiki/MAC_address"" rel=""nofollow noreferrer"">MAC addresses</a> are also tagged <a href=""/questions/tagged/mac"" class=""post-tag"" title=""show questions tagged &#39;mac&#39;"" rel=""tag"">mac</a>, but they should be tagged <a href=""/questions/tagged/mac-address"" class=""post-tag"" title=""show questions tagged &#39;mac-address&#39;"" rel=""tag"">mac-address</a>.</p>
"
security,The protection of computer systems and information from threats such as theft or data destruction.,"<p>The <a href=""/questions/tagged/security"" class=""post-tag"" title=""show questions tagged &#39;security&#39;"" rel=""tag"">security</a> tag is used in the context of computer security.</p>

<p><a href=""http://en.wikipedia.org/wiki/Computer_security"" rel=""nofollow noreferrer"">Computer Security</a> is a very broad term:</p>

<blockquote>
  <p>The objective of computer security includes protection of information and property from theft, corruption, or natural disaster, while allowing the information and property to remain accessible and productive to its intended users.</p>
</blockquote>

<p>Questions on Super User tagged <a href=""/questions/tagged/security"" class=""post-tag"" title=""show questions tagged &#39;security&#39;"" rel=""tag"">security</a> are generally expected to relate to specific software or hardware problems associated with security considerations.</p>

<p>Questions about protecting information assets from threats through controls, security architecture and security management systems are generally better suited for <a href=""http://security.stackexchange.com"">Security.StackExchange</a>.</p>

<h2>Related Tags</h2>

<ul>
<li><a href=""/questions/tagged/backup"" class=""post-tag"" title=""show questions tagged &#39;backup&#39;"" rel=""tag"">backup</a></li>
<li><a href=""/questions/tagged/firewall"" class=""post-tag"" title=""show questions tagged &#39;firewall&#39;"" rel=""tag"">firewall</a></li>
<li><a href=""/questions/tagged/malware"" class=""post-tag"" title=""show questions tagged &#39;malware&#39;"" rel=""tag"">malware</a></li>
<li><a href=""/questions/tagged/iptables"" class=""post-tag"" title=""show questions tagged &#39;iptables&#39;"" rel=""tag"">iptables</a></li>
<li><a href=""/questions/tagged/encryption"" class=""post-tag"" title=""show questions tagged &#39;encryption&#39;"" rel=""tag"">encryption</a></li>
<li><a href=""/questions/tagged/https"" class=""post-tag"" title=""show questions tagged &#39;https&#39;"" rel=""tag"">https</a></li>
</ul>
"
virus,A software program capable of reproducing itself and usually capable of causing great harm to files or other programs on the same computer.,"<h3>Popular questions</h3>

<ul>
<li><a href=""http://superuser.com/questions/100360/how-can-i-remove-malicious-spyware-malware-viruses-or-rootkits-from-my-pc"">How can I remove malicious spyware, malware, viruses or rootkits from my PC?</a></li>
<li><a href=""http://superuser.com/questions/445366/can-avi-files-contain-a-virus"">Can AVI files contain a virus?</a></li>
<li><a href=""http://superuser.com/questions/289054/is-my-host-machine-completely-isolated-from-a-virus-infected-virtual-machine"">Is my host machine completely isolated from a virus-infected virtual machine?</a></li>
<li><a href=""http://superuser.com/questions/713955/is-it-possible-to-detect-a-virus-with-taskmanager"">Is it possible to detect a virus with taskmanager?</a></li>
</ul>

<h3>See also</h3>

<ul>
<li><a href=""/questions/tagged/anti-virus"" class=""post-tag"" title=""show questions tagged &#39;anti-virus&#39;"" rel=""tag"">anti-virus</a></li>
<li><a href=""/questions/tagged/malware"" class=""post-tag"" title=""show questions tagged &#39;malware&#39;"" rel=""tag"">malware</a></li>
</ul>
"
fedora,Fedora is a Linux-based free operating system sponsored by Red Hat.,"<p><a href=""http://fedoraproject.org/"" rel=""nofollow noreferrer"">Fedora</a> is <a href=""/questions/tagged/rpm"" class=""post-tag"" title=""show questions tagged &#39;rpm&#39;"" rel=""tag"">rpm</a>-based distribution that uses <a href=""/questions/tagged/dnf"" class=""post-tag"" title=""show questions tagged &#39;dnf&#39;"" rel=""tag"">dnf</a> for package management.</p>

<p>The default distribution of Fedora 20 uses <a href=""/questions/tagged/gnome"" class=""post-tag"" title=""show questions tagged &#39;gnome&#39;"" rel=""tag"">gnome</a> 3.10.</p>

<h3>Tag usage</h3>

<p>The Fedora versions on Super User have the version number appended to the tag:</p>

<ul>
<li><a href=""/questions/tagged/fedora-20"" class=""post-tag"" title=""show questions tagged &#39;fedora-20&#39;"" rel=""tag"">fedora-20</a></li>
<li><a href=""/questions/tagged/fedora-19"" class=""post-tag"" title=""show questions tagged &#39;fedora-19&#39;"" rel=""tag"">fedora-19</a></li>
<li><em>et cetera</em></li>
</ul>
"
microsoft-outlook,"Email client, calendar/appointment manager and address book/contacts list software. Not to be confused with outlook.com, the new name/interface for Hotmail.","<p><strong>Outlook</strong> is Microsoft's personal information manager software, often sold in a suite of applications known as <a href=""https://products.office.com/"" rel=""nofollow noreferrer"">Microsoft Office</a>.  </p>

<p>As an email client, calendar/appointment manager, and contact book, it is used worldwide, especially in enterprise settings.</p>

<h2>Recent versions</h2>

<h3>Windows</h3>

<ul>
<li><a href=""/questions/tagged/microsoft-outlook-2003"" class=""post-tag"" title=""show questions tagged &#39;microsoft-outlook-2003&#39;"" rel=""tag"">microsoft-outlook-2003</a></li>
<li><a href=""/questions/tagged/microsoft-outlook-2007"" class=""post-tag"" title=""show questions tagged &#39;microsoft-outlook-2007&#39;"" rel=""tag"">microsoft-outlook-2007</a></li>
<li><a href=""/questions/tagged/microsoft-outlook-2010"" class=""post-tag"" title=""show questions tagged &#39;microsoft-outlook-2010&#39;"" rel=""tag"">microsoft-outlook-2010</a></li>
<li><a href=""/questions/tagged/microsoft-outlook-2013"" class=""post-tag"" title=""show questions tagged &#39;microsoft-outlook-2013&#39;"" rel=""tag"">microsoft-outlook-2013</a></li>
<li><a href=""/questions/tagged/microsoft-outlook-2016"" class=""post-tag"" title=""show questions tagged &#39;microsoft-outlook-2016&#39;"" rel=""tag"">microsoft-outlook-2016</a></li>
</ul>

<h3>Mac</h3>

<ul>
<li><a href=""/questions/tagged/microsoft-outlook-2004"" class=""post-tag"" title=""show questions tagged &#39;microsoft-outlook-2004&#39;"" rel=""tag"">microsoft-outlook-2004</a></li>
<li><a href=""/questions/tagged/microsoft-outlook-2008"" class=""post-tag"" title=""show questions tagged &#39;microsoft-outlook-2008&#39;"" rel=""tag"">microsoft-outlook-2008</a></li>
<li><a href=""/questions/tagged/microsoft-outlook-2011"" class=""post-tag"" title=""show questions tagged &#39;microsoft-outlook-2011&#39;"" rel=""tag"">microsoft-outlook-2011</a></li>
<li><a href=""/questions/tagged/microsoft-outlook-2016"" class=""post-tag"" title=""show questions tagged &#39;microsoft-outlook-2016&#39;"" rel=""tag"">microsoft-outlook-2016</a></li>
</ul>

<h3>Additional tags</h3>

<ul>
<li><a href=""/questions/tagged/outlook-express"" class=""post-tag"" title=""show questions tagged &#39;outlook-express&#39;"" rel=""tag"">outlook-express</a></li>
<li><a href=""/questions/tagged/outlook-web-access"" class=""post-tag"" title=""show questions tagged &#39;outlook-web-access&#39;"" rel=""tag"">outlook-web-access</a></li>
</ul>
"
browser,"Browser is the term used for a program that's used to display web pages. It comes from the phrase ""browse the Internet"".","<p>Browser is the term used for a program that's used to display web pages. It comes from the phrase ""browse the Internet"".</p>

<h3>Related tags</h3>

<p>Some popular browsers are:</p>

<ul>
<li><a href=""/questions/tagged/firefox"" class=""post-tag"" title=""show questions tagged &#39;firefox&#39;"" rel=""tag"">firefox</a> &ndash; <a href=""http://www.mozilla.com/en-US/firefox/new/"" rel=""nofollow noreferrer"">Mozilla Firefox</a>, released by the <a href=""http://www.mozilla.com/"" rel=""nofollow noreferrer"">Mozilla Project</a></li>
<li><a href=""/questions/tagged/google-chrome"" class=""post-tag"" title=""show questions tagged &#39;google-chrome&#39;"" rel=""tag"">google-chrome</a> &ndash; <a href=""http://www.google.com/chrome"" rel=""nofollow noreferrer"">Google Chrome</a>, based on the Open Source <a href=""http://www.chromium.org/"" rel=""nofollow noreferrer"">Chromium</a> project</li>
<li><a href=""/questions/tagged/internet-explorer"" class=""post-tag"" title=""show questions tagged &#39;internet-explorer&#39;"" rel=""tag"">internet-explorer</a> &ndash; <a href=""http://windows.microsoft.com/en-US/internet-explorer/products/ie/home"" rel=""nofollow noreferrer"">Internet Explorer</a> (also Windows Internet Explorer, formerly Microsoft Internet Explorer), the web browser included with Microsoft Windows</li>
<li><a href=""/questions/tagged/opera"" class=""post-tag"" title=""show questions tagged &#39;opera&#39;"" rel=""tag"">opera</a> &ndash; <a href=""http://www.opera.com/"" rel=""nofollow noreferrer"">Opera</a>, a web browser and internet suite</li>
<li><a href=""/questions/tagged/safari"" class=""post-tag"" title=""show questions tagged &#39;safari&#39;"" rel=""tag"">safari</a> &ndash; <a href=""http://www.apple.com/safari/"" rel=""nofollow noreferrer"">Safari</a>, the default browser for OS X with a port for Windows</li>
</ul>
"
firefox,"An open-source web browser developed by Mozilla. If relevant to the question, also include the tag of your operating system.","<p><a href=""https://i.stack.imgur.com/iTfJ7.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/iTfJ7.png"" alt=""Firefox 70 logo""></a></p>

<p><a href=""https://www.mozilla.org/firefox/"" rel=""nofollow noreferrer""><strong>Mozilla Firefox</strong></a>, also known as <strong>Firefox Browser</strong> since version 70, is a free, open-source and cross-platform web browser developed by the Mozilla Foundation, a non-profit organization.</p>

<h2>Popular questions</h2>

<ul>
<li><a href=""http://superuser.com/questions/23134/how-to-turn-off-firefox-cache"">Turning off Firefox's cache</a></li>
<li><a href=""http://superuser.com/questions/73444/firefox-remember-new-passwords-without-prompting"">Remember new passwords without prompting</a></li>
<li><a href=""http://superuser.com/questions/330501/simulate-limited-bandwidth-from-within-firefox"">Simulating a limited bandwidth experience</a></li>
</ul>

<h2>Other browsers</h2>

<ul>
<li><a href=""/questions/tagged/google-chrome"" class=""post-tag"" title=""show questions tagged &#39;google-chrome&#39;"" rel=""tag"">google-chrome</a></li>
<li><a href=""/questions/tagged/internet-explorer"" class=""post-tag"" title=""show questions tagged &#39;internet-explorer&#39;"" rel=""tag"">internet-explorer</a></li>
<li><a href=""/questions/tagged/microsoft-edge"" class=""post-tag"" title=""show questions tagged &#39;microsoft-edge&#39;"" rel=""tag"">microsoft-edge</a></li>
<li><a href=""/questions/tagged/opera"" class=""post-tag"" title=""show questions tagged &#39;opera&#39;"" rel=""tag"">opera</a></li>
<li><a href=""/questions/tagged/safari"" class=""post-tag"" title=""show questions tagged &#39;safari&#39;"" rel=""tag"">safari</a></li>
</ul>
"
compression,Compression decreases the size of data.,"<p>Compression decreases the size of data, normally done to preserve space, archive old files or to reduce network bandwidth required while transmitting file. Compression can be applied to files, folders, disks and even whole disk arrays.  A myriad of compression programs exist, each with their own advantages and disadvantages such as: compression ratio, speed of compression, and program comparability. Questions relating to specific programs that perform compression can be found under tags such as <a href=""/questions/tagged/rar"" class=""post-tag"" title=""show questions tagged &#39;rar&#39;"" rel=""tag"">rar</a> <a href=""/questions/tagged/zip"" class=""post-tag"" title=""show questions tagged &#39;zip&#39;"" rel=""tag"">zip</a> <a href=""/questions/tagged/unzip"" class=""post-tag"" title=""show questions tagged &#39;unzip&#39;"" rel=""tag"">unzip</a> <a href=""/questions/tagged/winrar"" class=""post-tag"" title=""show questions tagged &#39;winrar&#39;"" rel=""tag"">winrar</a> <a href=""/questions/tagged/7-zip"" class=""post-tag"" title=""show questions tagged &#39;7-zip&#39;"" rel=""tag"">7-zip</a> and even <a href=""/questions/tagged/archiving"" class=""post-tag"" title=""show questions tagged &#39;archiving&#39;"" rel=""tag"">archiving</a> and <a href=""/questions/tagged/extract"" class=""post-tag"" title=""show questions tagged &#39;extract&#39;"" rel=""tag"">extract</a></p>
"
ftp,FTP (File Transfer Protocol) is a common protocol for transferring files between computers over networks,"<p><a href=""https://en.wikipedia.org/wiki/File_Transfer_Protocol"" rel=""nofollow noreferrer"">FTP</a> (File Transfer Protocol) is a common communications protocol for transferring files between computers over the Internet or other networks.</p>

<p>FTP is just one communications protocol on the web. Others include:</p>

<ul>
<li>Transmission Control Protocol (TCP) <a href=""/questions/tagged/tcp"" class=""post-tag"" title=""show questions tagged &#39;tcp&#39;"" rel=""tag"">tcp</a></li>
<li>User Datagram Protocol (UDP) <a href=""/questions/tagged/udp"" class=""post-tag"" title=""show questions tagged &#39;udp&#39;"" rel=""tag"">udp</a></li>
<li>Internet Control Message Protocol (ICMP) <a href=""/questions/tagged/icmp"" class=""post-tag"" title=""show questions tagged &#39;icmp&#39;"" rel=""tag"">icmp</a></li>
<li>Hypertext Transfer Protocol (HTTP) <a href=""/questions/tagged/http"" class=""post-tag"" title=""show questions tagged &#39;http&#39;"" rel=""tag"">http</a></li>
<li>Post Office Protocol (POP3) <a href=""/questions/tagged/pop3"" class=""post-tag"" title=""show questions tagged &#39;pop3&#39;"" rel=""tag"">pop3</a></li>
<li>Internet Message Access Protocol (IMAP) <a href=""/questions/tagged/imap"" class=""post-tag"" title=""show questions tagged &#39;imap&#39;"" rel=""tag"">imap</a></li>
</ul>
"
html,"HTML stand for HyperText Markup Language. You may ask questions about handling HTML files; however, questions regarding HTML markup are considered off topic here.",
entourage,,
