tag0,tag1,Score
printer,laser-printer,1
transparency,image-processing,2
transparency,animation,2
transparency,gif,2
transparency,image-editing,2
image-processing,gif,2
clipboard,screenshot,2
kindle,ebook,2
preview,animation,2
selection,highlighting,2
selection,gimp,2
photos,pictures,2
photos,scanning,2
photos,image-editing,2
pictures,scanning,2
pictures,ocr,2
pictures,image-editing,2
svg,gif,2
screenshot,image-editing,2
dpi,scaling,2
dpi,scanning,2
scaling,hp-laserjet,2
productivity,ocr,2
scanning,hp-laserjet,2
scanning,laser-printer,2
file-format,png,2
png,gimp,2
jpeg,gimp,2
network-printer,scanner,2
network-printer,hp-laserjet,2
network-printer,laser-printer,2
scanner,hp-laserjet,2
scanner,laser-printer,2
hp-laserjet,laser-printer,2
security,encryption,2
security,passwords,2
ssh,putty,2
ssh,scp,2
encryption,passwords,2
encryption,public-key,2
encryption,rsa,2
passwords,login,2
passwords,keychain,2
passwords,password-protection,2
passwords,hashing,2
login,authentication,2
login,smartcard,2
login,fingerprint,2
ssl,certificate,2
ssl,https,2
ssl,iis,2
putty,private-key,2
pam,smartcard,2
cryptography,smartcard,2
cryptography,rsa,2
authentication,iis,2
authentication,public-key,2
authentication,rsa,2
authentication,fingerprint,2
authentication,ldap,2
certificate,keychain,2
certificate,smartcard,2
certificate,https,2
certificate,tls,2
certificate,digital-signature,2
keychain,rsa,2
https,curl,2
https,reverse-proxy,2
curl,tls,2
public-key,rsa,2
sftp,scp,2
password-protection,hashing,2
digital-signature,pgp,2
macos,mac,2
macos,finder,2
mac,boot-camp,2
macbook,boot-camp,2
boot-camp,imac,2
boot-camp,parallels,2
imac,parallels,2
finder,spotlight,2
php,mysql,2
php,lamp,2
php,nginx,2
php,mediawiki,2
php,wamp,2
dns,subdomain,2
dns,domain,2
dns,nameserver,2
dns,hosts,2
dns,hosts-file,2
dns,hostname,2
dns,bind,2
webserver,localhost,2
webserver,hosting,2
webserver,lamp,2
webserver,nginx,2
webserver,httpd,2
webserver,web-hosting,2
mysql,wamp,2
subdomain,nameserver,2
subdomain,virtual-host,2
redirection,url,2
redirection,nginx,2
redirection,hosts,2
redirection,hosts-file,2
local,nameserver,2
local,domain-name,2
local,bind,2
domain,hosting,2
domain,nameserver,2
domain,web-hosting,2
domain,hostname,2
domain,bind,2
vps,hosting,2
vps,nameserver,2
vps,web-hosting,2
vps,bind,2
localhost,httpd,2
localhost,virtual-host,2
localhost,hosts,2
localhost,hosts-file,2
localhost,wamp,2
hosting,nameserver,2
hosting,virtual-host,2
hosting,domain-name,2
lamp,virtual-host,2
lamp,mediawiki,2
httpd,virtual-host,2
httpd,wamp,2
home-server,web-hosting,2
home-server,domain-name,2
home-server,wamp,2
web-hosting,domain-name,2
hosts,hosts-file,2
hosts,hostname,2
hosts-file,domain-name,2
hostname,bind,2
email,gmail,2
email,thunderbird,2
email,smtp,2
email,attachments,2
email,rules,2
email,dovecot,2
email,imap,2
email,postfix,2
email,mutt,2
sync,contacts,2
sync,calendar,2
migration,import,2
migration,pst,2
gmail,smtp,2
gmail,imap,2
gmail,postfix,2
gmail,mutt,2
gmail,email-client,2
thunderbird,attachments,2
thunderbird,imap,2
thunderbird,email-client,2
import,contacts,2
import,pst,2
contacts,pst,2
exchange,pst,2
exchange,attachments,2
exchange,rules,2
exchange,calendar,2
exchange,imap,2
exchange,email-client,2
smtp,dovecot,2
smtp,imap,2
smtp,postfix,2
smtp,mutt,2
smtp,email-client,2
attachments,mutt,2
imap,postfix,2
imap,mutt,2
imap,email-client,2
keyboard-shortcuts,keyboard,2
keyboard-shortcuts,hotkeys,2
keyboard-shortcuts,keyboard-layout,2
keyboard-shortcuts,key-binding,2
keyboard,mouse,2
keyboard,function-keys,2
keyboard,keyboard-layout,2
keyboard,keymap,2
keyboard,remapping,2
mouse,bluetooth,2
mouse,scrolling,2
mouse,mouse-click,2
bluetooth,game-controller,2
touchpad,mouse-click,2
touchpad,touchscreen,2
accessibility,mouse-click,2
accessibility,zoom,2
accessibility,cursor,2
hotkeys,keymap,2
hotkeys,key-binding,2
hotkeys,remapping,2
scrolling,touchscreen,2
scrolling,zoom,2
scrolling,cursor,2
lag,input,2
lag,cursor,2
input,touchscreen,2
keyboard-layout,keymap,2
keyboard-layout,key-binding,2
keyboard-layout,remapping,2
keymap,remapping,2
touchscreen,zoom,2
tablet,cursor,2
key-binding,remapping,2
compression,tar,2
compression,archiving,2
compression,rar,2
compression,gzip,2
zip,extract,2
zip,tar,2
zip,archiving,2
zip,rar,2
zip,gzip,2
extract,rar,2
tar,gzip,2
archiving,rar,2
archiving,gzip,2
